,Number_of_Pitches,Number_of_Pitch_Classes,Number_of_Common_Pitches,Number_of_Common_Pitch_Classes,Range,Importance_of_Bass_Register,Importance_of_Middle_Register,Importance_of_High_Register,Dominant_Spread,Strong_Tonal_Centres,Mean_Pitch,Mean_Pitch_Class,Most_Common_Pitch,Most_Common_Pitch_Class,Prevalence_of_Most_Common_Pitch,Prevalence_of_Most_Common_Pitch_Class,Relative_Prevalence_of_Top_Pitches,Relative_Prevalence_of_Top_Pitch_Classes,Interval_Between_Most_Prevalent_Pitches,Interval_Between_Most_Prevalent_Pitch_Classes,Pitch_Variability,Pitch_Class_Variability,Pitch_Class_Variability_After_Folding,Pitch_Skewness,Pitch_Class_Skewness,Pitch_Class_Skewness_After_Folding,Pitch_Kurtosis,Pitch_Class_Kurtosis,Pitch_Class_Kurtosis_After_Folding,Major_or_Minor,First_Pitch,First_Pitch_Class,Last_Pitch,Last_Pitch_Class,Most_Common_Melodic_Interval,Mean_Melodic_Interval,Number_of_Common_Melodic_Intervals,Distance_Between_Most_Prevalent_Melodic_Intervals,Prevalence_of_Most_Common_Melodic_Interval,Relative_Prevalence_of_Most_Common_Melodic_Intervals,Amount_of_Arpeggiation,Repeated_Notes,Chromatic_Motion,Stepwise_Motion,Melodic_Thirds,Melodic_Perfect_Fourths,Melodic_Tritones,Melodic_Perfect_Fifths,Melodic_Sixths,Melodic_Sevenths,Melodic_Octaves,Melodic_Large_Intervals,Minor_Major_Melodic_Third_Ratio,Melodic_Embellishments,Direction_of_Melodic_Motion,Average_Length_of_Melodic_Arcs,Average_Interval_Spanned_by_Melodic_Arcs,Melodic_Pitch_Variety,Simple_Initial_Meter,Compound_Initial_Meter,Complex_Initial_Meter,Duple_Initial_Meter,Triple_Initial_Meter,Quadruple_Initial_Meter,Metrical_Diversity,Total_Number_of_Notes,Note_Density_per_Quarter_Note,Note_Density_per_Quarter_Note_per_Voice,Note_Density_per_Quarter_Note_Variability,Range_of_Rhythmic_Values,Number_of_Different_Rhythmic_Values_Present,Number_of_Common_Rhythmic_Values_Present,Prevalence_of_Very_Short_Rhythmic_Values,Prevalence_of_Short_Rhythmic_Values,Prevalence_of_Medium_Rhythmic_Values,Prevalence_of_Long_Rhythmic_Values,Prevalence_of_Very_Long_Rhythmic_Values,Prevalence_of_Dotted_Notes,Shortest_Rhythmic_Value,Longest_Rhythmic_Value,Mean_Rhythmic_Value,Most_Common_Rhythmic_Value,Prevalence_of_Most_Common_Rhythmic_Value,Relative_Prevalence_of_Most_Common_Rhythmic_Values,Difference_Between_Most_Common_Rhythmic_Values,Rhythmic_Value_Variability,Rhythmic_Value_Skewness,Rhythmic_Value_Kurtosis,Mean_Rhythmic_Value_Run_Length,Median_Rhythmic_Value_Run_Length,Variability_in_Rhythmic_Value_Run_Lengths,Mean_Rhythmic_Value_Offset,Median_Rhythmic_Value_Offset,Variability_of_Rhythmic_Value_Offsets,Complete_Rests_Fraction,Partial_Rests_Fraction,Average_Rest_Fraction_Across_Voices,Longest_Complete_Rest,Longest_Partial_Rest,Mean_Complete_Rest_Duration,Mean_Partial_Rest_Duration,Median_Complete_Rest_Duration,Median_Partial_Rest_Duration,Variability_of_Complete_Rest_Durations,Variability_of_Partial_Rest_Durations,Variability_Across_Voices_of_Combined_Rests,Number_of_Strong_Rhythmic_Pulses_-_Tempo_Standardized,Number_of_Moderate_Rhythmic_Pulses_-_Tempo_Standardized,Number_of_Relatively_Strong_Rhythmic_Pulses_-_Tempo_Standardized,Strongest_Rhythmic_Pulse_-_Tempo_Standardized,Second_Strongest_Rhythmic_Pulse_-_Tempo_Standardized,Harmonicity_of_Two_Strongest_Rhythmic_Pulses_-_Tempo_Standardized,Strength_of_Strongest_Rhythmic_Pulse_-_Tempo_Standardized,Strength_of_Second_Strongest_Rhythmic_Pulse_-_Tempo_Standardized,Strength_Ratio_of_Two_Strongest_Rhythmic_Pulses_-_Tempo_Standardized,Combined_Strength_of_Two_Strongest_Rhythmic_Pulses_-_Tempo_Standardized,Rhythmic_Variability_-_Tempo_Standardized,Rhythmic_Looseness_-_Tempo_Standardized,Polyrhythms_-_Tempo_Standardized,Initial_Tempo,Mean_Tempo,Tempo_Variability,Duration_in_Seconds,Note_Density,Note_Density_Variability,Average_Time_Between_Attacks,Average_Time_Between_Attacks_for_Each_Voice,Variability_of_Time_Between_Attacks,Average_Variability_of_Time_Between_Attacks_for_Each_Voice,Minimum_Note_Duration,Maximum_Note_Duration,Average_Note_Duration,Variability_of_Note_Durations,Amount_of_Staccato,Number_of_Strong_Rhythmic_Pulses,Number_of_Moderate_Rhythmic_Pulses,Number_of_Relatively_Strong_Rhythmic_Pulses,Strongest_Rhythmic_Pulse,Second_Strongest_Rhythmic_Pulse,Harmonicity_of_Two_Strongest_Rhythmic_Pulses,Strength_of_Strongest_Rhythmic_Pulse,Strength_of_Second_Strongest_Rhythmic_Pulse,Strength_Ratio_of_Two_Strongest_Rhythmic_Pulses,Combined_Strength_of_Two_Strongest_Rhythmic_Pulses,Rhythmic_Variability,Rhythmic_Looseness,Polyrhythms
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\title\midi\run5\run5_epoch4096_1.mid",22.0, 12.0, 2.0, 1.0, 46.0, 0.0, 0.0, 1.0, 1.0, 4.0, 120.0, 5.45, 127.0, 7.0, 0.42, 0.43, 0.2619, 0.2558, 2.0, 2.0, 10.52, 2.484, 3.756, -1.172, -1.872, 1.653, 9.527, 6.257, 5.168, 0.0, 81.0, 9.0, 124.0, 4.0, 0.0, 2.273, 4.0, 2.0, 0.303, 0.6667, 0.4949, 0.303, 0.1515, 0.3535, 0.1515, 0.06061, 0.05051, 0.0404, 0.0404, 0.0, 0.0, 0.0, 2.75, 0.0, 0.5797, 1.38, 4.34, 3.239, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 2.114, 2.114, 0.1837, 2.0, 3.0, 2.0, 0.25, 0.97, 0.75, 0.0, 0.0, 0.03, 0.25, 0.75, 0.445, 0.5, 0.72, 0.3472, 1.0, 0.1209, -1.365, 6.244, 3.226, 2.0, 3.594, 0.07229, 0.08333, 0.03632, 0.1233, 0.1233, 0.1233, 0.1458, 0.1458, 0.1165, 0.1165, 0.1042, 0.1042, 0.01661, 0.01661, 0.0, 0.0, 30.0, 19.0, 41.0, 43.0, 1.049, 0.04251, 0.04049, 1.05, 0.083, 0.008888, 5.421, 0.3158, 120.0, 120.0, 0.0, 23.66, 4.227, 0.2987, 0.2266, 0.2266, 0.04116, 0.04116, 0.1458, 0.3438, 0.2074, 0.0359, 0.0, 0.0, 30.0, 19.0, 41.0, 43.0, 1.049, 0.04251, 0.04049, 1.05, 0.083, 0.008888, 5.421, 0.3158
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\title\midi\run5\run5_epoch4096_10.mid",24.0, 11.0, 1.0, 1.0, 54.0, 0.0, 0.0, 1.0, 1.0, 2.0, 120.0, 5.63, 127.0, 7.0, 0.44, 0.47, 0.1818, 0.2128, 3.0, 3.0, 11.1, 2.623, 3.549, -1.192, -1.567, 2.24, 12.37, 5.95, 5.611, 0.0, 73.0, 1.0, 124.0, 4.0, 0.0, 4.394, 6.0, 3.0, 0.1717, 0.8824, 0.5758, 0.1717, 0.07071, 0.1616, 0.2727, 0.101, 0.06061, 0.09091, 0.06061, 0.0101, 0.0101, 0.06061, 1.25, 0.0, 0.5, 1.188, 6.261, 3.308, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 1.713, 1.713, 0.1605, 1.0, 2.0, 2.0, 0.0, 0.84, 1.0, 0.0, 0.0, 0.16, 0.5, 0.75, 0.54, 0.5, 0.84, 0.1905, 1.0, 0.09211, 1.303, 7.764, 5.556, 3.0, 11.69, 0.05021, 0.04167, 0.03429, 0.08744, 0.08744, 0.08744, 0.1458, 0.1458, 0.1205, 0.1205, 0.125, 0.125, 0.0167, 0.0167, 0.0, 0.0, 27.0, 27.0, 41.0, 46.0, 1.122, 0.03837, 0.02878, 1.333, 0.06715, 0.008365, 6.741, 0.1481, 120.0, 120.0, 0.0, 29.19, 3.426, 0.3665, 0.2812, 0.2812, 0.05144, 0.05144, 0.1875, 0.3854, 0.2664, 0.04647, 0.0, 0.0, 27.0, 27.0, 41.0, 46.0, 1.122, 0.03837, 0.02878, 1.333, 0.06715, 0.008365, 6.741, 0.1481
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\title\midi\run5\run5_epoch4096_100.mid",20.0, 11.0, 2.0, 1.0, 38.0, 0.0, 0.0, 1.0, 1.0, 4.0, 121.0, 5.94, 127.0, 7.0, 0.48, 0.5, 0.1875, 0.2, 1.0, 4.0, 9.455, 1.979, 3.577, -1.314, -1.607, 1.593, 9.313, 6.399, 5.342, 0.0, 89.0, 5.0, 126.0, 6.0, 0.0, 2.192, 5.0, 2.0, 0.2828, 0.5714, 0.5758, 0.2828, 0.1515, 0.3131, 0.2727, 0.08081, 0.0101, 0.0202, 0.0202, 0.0, 0.0, 0.0, 1.25, 0.0, 0.6056, 1.315, 3.944, 3.219, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 2.119, 2.119, 0.1472, 1.0, 2.0, 2.0, 0.23, 1.0, 0.77, 0.0, 0.0, 0.0, 0.25, 0.5, 0.4425, 0.5, 0.77, 0.2987, 1.0, 0.1057, -1.631, 5.877, 4.0, 3.0, 3.979, 0.06854, 0.08333, 0.03678, 0.1192, 0.1192, 0.1192, 0.1667, 0.1667, 0.1234, 0.1234, 0.125, 0.125, 0.01856, 0.01856, 0.0, 0.0, 29.0, 23.0, 41.0, 43.0, 1.049, 0.03808, 0.03206, 1.187, 0.07014, 0.008704, 8.043, 0.2609, 120.0, 120.0, 0.0, 23.59, 4.238, 0.3376, 0.2254, 0.2254, 0.03813, 0.03813, 0.1458, 0.2812, 0.2078, 0.02974, 0.0, 0.0, 29.0, 23.0, 41.0, 43.0, 1.049, 0.03808, 0.03206, 1.187, 0.07014, 0.008704, 8.043, 0.2609
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\title\midi\run5\run5_epoch4096_11.mid",24.0, 11.0, 2.0, 1.0, 38.0, 0.0, 0.0, 1.0, 1.0, 2.0, 121.0, 5.79, 127.0, 7.0, 0.49, 0.51, 0.1837, 0.2353, 2.0, 2.0, 9.718, 2.226, 3.652, -1.361, -1.631, 2.111, 9.104, 6.788, 5.865, 0.0, 89.0, 5.0, 127.0, 7.0, 0.0, 2.323, 5.0, 2.0, 0.3333, 0.5152, 0.5051, 0.3333, 0.1313, 0.303, 0.1414, 0.101, 0.07071, 0.0101, 0.0202, 0.0202, 0.0, 0.0, 1.8, 0.0, 0.6061, 1.32, 4.5, 2.956, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 1.95, 1.95, 0.1128, 2.0, 3.0, 1.0, 0.12, 0.98, 0.88, 0.0, 0.0, 0.02, 0.25, 0.75, 0.475, 0.5, 0.86, 0.1395, 1.0, 0.09059, -0.8279, 9.821, 4.762, 2.0, 5.983, 0.06104, 0.0625, 0.03666, 0.1073, 0.1073, 0.1073, 0.1667, 0.1667, 0.1219, 0.1219, 0.125, 0.125, 0.02059, 0.02059, 0.0, 0.0, 30.0, 18.0, 51.0, 43.0, 1.186, 0.04595, 0.0372, 1.235, 0.08315, 0.008576, 7.889, 0.1667, 120.0, 120.0, 0.0, 25.64, 3.901, 1.682, 0.2452, 0.2452, 0.04173, 0.04173, 0.1562, 0.3333, 0.2289, 0.03712, 0.0, 0.0, 30.0, 18.0, 51.0, 43.0, 1.186, 0.04595, 0.0372, 1.235, 0.08315, 0.008576, 7.889, 0.1667
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\title\midi\run5\run5_epoch4096_12.mid",27.0, 12.0, 1.0, 1.0, 56.0, 0.0, 0.03, 0.97, 1.0, 2.0, 119.0, 5.67, 127.0, 7.0, 0.48, 0.5, 0.1458, 0.2, 4.0, 4.0, 13.1, 2.594, 3.358, -1.505, -1.538, 2.082, 10.46, 6.12, 5.775, 0.0, 72.0, 0.0, 127.0, 7.0, 0.0, 2.677, 5.0, 2.0, 0.3737, 0.3514, 0.6465, 0.3737, 0.101, 0.2323, 0.1919, 0.07071, 0.0101, 0.0303, 0.0303, 0.0404, 0.0, 0.0202, 1.111, 0.0, 0.5806, 1.216, 5.098, 2.141, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 1.947, 1.947, 0.1403, 2.0, 3.0, 1.0, 0.13, 0.95, 0.87, 0.0, 0.0, 0.05, 0.25, 0.75, 0.48, 0.5, 0.82, 0.1585, 1.0, 0.1047, -0.5731, 8.719, 5.0, 3.0, 5.506, 0.06271, 0.0625, 0.03978, 0.1103, 0.1103, 0.1103, 0.1458, 0.1458, 0.1159, 0.1159, 0.1042, 0.1042, 0.01641, 0.01641, 0.0, 0.0, 29.0, 23.0, 41.0, 43.0, 1.049, 0.04274, 0.03205, 1.333, 0.07479, 0.008735, 5.348, 0.2174, 120.0, 120.0, 0.0, 25.68, 3.895, 1.696, 0.2464, 0.2464, 0.04774, 0.04774, 0.1562, 0.3854, 0.2284, 0.04499, 0.0, 0.0, 29.0, 23.0, 41.0, 43.0, 1.049, 0.04274, 0.03205, 1.333, 0.07479, 0.008735, 5.348, 0.2174
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\title\midi\run5\run5_epoch4096_13.mid",21.0, 11.0, 2.0, 1.0, 39.0, 0.0, 0.0, 1.0, 1.0, 2.0, 122.0, 5.69, 127.0, 7.0, 0.52, 0.53, 0.1923, 0.2264, 1.0, 1.0, 8.945, 2.154, 3.371, -1.526, -1.824, 2.198, 10.56, 6.791, 5.683, 0.0, 88.0, 4.0, 124.0, 4.0, 0.0, 1.939, 5.0, 1.0, 0.3737, 0.4054, 0.6263, 0.3737, 0.1515, 0.2626, 0.2323, 0.06061, 0.0404, 0.0202, 0.0101, 0.0, 0.0, 0.0, 1.556, 0.0, 0.5806, 1.265, 3.857, 3.147, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 1.98, 1.98, 0.2355, 2.0, 3.0, 1.0, 0.13, 0.99, 0.87, 0.0, 0.0, 0.01, 0.25, 0.75, 0.47, 0.5, 0.86, 0.1512, 1.0, 0.08905, -1.011, 9.352, 4.167, 1.0, 7.534, 0.05729, 0.0625, 0.03773, 0.1077, 0.1077, 0.1077, 0.1667, 0.1667, 0.1171, 0.1171, 0.1042, 0.1042, 0.01918, 0.01918, 0.0, 0.0, 25.0, 22.0, 44.0, 55.0, 1.25, 0.04376, 0.03501, 1.25, 0.07877, 0.008666, 7.045, 0.2273, 120.0, 120.0, 0.0, 25.25, 3.96, 1.677, 0.2428, 0.2428, 0.03772, 0.03772, 0.1354, 0.3125, 0.2253, 0.03465, 0.0, 0.0, 25.0, 22.0, 44.0, 55.0, 1.25, 0.04376, 0.03501, 1.25, 0.07877, 0.008666, 7.045, 0.2273
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\title\midi\run5\run5_epoch4096_14.mid",32.0, 12.0, 2.0, 1.0, 59.0, 0.0, 0.02, 0.98, 2.0, 3.0, 118.0, 5.33, 127.0, 7.0, 0.3, 0.33, 0.3, 0.3636, 2.0, 3.0, 12.61, 2.727, 3.648, -1.397, -0.7371, 0.9787, 10.59, 5.745, 5.262, 0.0, 69.0, 9.0, 125.0, 5.0, 2.0, 3.919, 5.0, 1.0, 0.1818, 1.0, 0.4545, 0.1111, 0.1616, 0.3434, 0.2727, 0.0404, 0.0303, 0.0101, 0.09091, 0.05051, 0.0101, 0.0404, 2.0, 0.0, 0.5682, 1.294, 5.676, 4.443, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 1.887, 1.887, 0.1039, 2.0, 3.0, 1.0, 0.09, 0.89, 0.91, 0.0, 0.0, 0.11, 0.25, 0.75, 0.505, 0.5, 0.8, 0.1375, 1.0, 0.1123, 0.1336, 8.344, 4.762, 3.0, 6.379, 0.05958, 0.0625, 0.03861, 0.1006, 0.1006, 0.1006, 0.1458, 0.1458, 0.122, 0.122, 0.125, 0.125, 0.01605, 0.01605, 0.0, 0.0, 27.0, 18.0, 44.0, 53.0, 1.205, 0.04072, 0.02715, 1.5, 0.06787, 0.007924, 22.5, 0.1667, 120.0, 120.0, 0.0, 26.5, 3.774, 0.3171, 0.2551, 0.2551, 0.05113, 0.05113, 0.1458, 0.4271, 0.2383, 0.05052, 0.0, 0.0, 27.0, 18.0, 44.0, 53.0, 1.205, 0.04072, 0.02715, 1.5, 0.06787, 0.007924, 22.5, 0.1667
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\title\midi\run5\run5_epoch4096_15.mid",31.0, 11.0, 1.0, 1.0, 73.0, 0.01, 0.02, 0.97, 3.0, 1.0, 116.0, 5.64, 127.0, 7.0, 0.39, 0.41, 0.1538, 0.2683, 2.0, 7.0, 16.76, 3.037, 3.736, -1.424, -1.343, 2.088, 9.024, 5.754, 5.674, 0.0, 59.0, 11.0, 124.0, 4.0, 0.0, 2.273, 4.0, 2.0, 0.3636, 0.4444, 0.5859, 0.3636, 0.101, 0.2626, 0.1919, 0.06061, 0.07071, 0.0202, 0.0101, 0.0, 0.0, 0.0202, 5.333, 0.0, 0.6349, 1.5, 5.286, 2.906, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 2.182, 2.182, 0.1056, 2.0, 3.0, 2.0, 0.28, 0.98, 0.72, 0.0, 0.0, 0.02, 0.25, 0.75, 0.435, 0.5, 0.7, 0.4, 1.0, 0.1211, -1.61, 5.772, 2.778, 2.0, 2.674, 0.07521, 0.08333, 0.03426, 0.1214, 0.1214, 0.1214, 0.1667, 0.1667, 0.125, 0.125, 0.125, 0.125, 0.01929, 0.01929, 0.0, 0.0, 26.0, 22.0, 41.0, 47.0, 1.146, 0.04086, 0.03891, 1.05, 0.07977, 0.008284, 7.955, 0.1364, 120.0, 120.0, 0.0, 22.92, 4.364, 0.1641, 0.2186, 0.2186, 0.04208, 0.04208, 0.1354, 0.3333, 0.2014, 0.03463, 0.0, 0.0, 26.0, 22.0, 41.0, 47.0, 1.146, 0.04086, 0.03891, 1.05, 0.07977, 0.008284, 7.955, 0.1364
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\title\midi\run5\run5_epoch4096_16.mid",21.0, 11.0, 2.0, 1.0, 54.0, 0.0, 0.0, 1.0, 1.0, 2.0, 121.0, 5.85, 127.0, 7.0, 0.51, 0.53, 0.2353, 0.2264, 1.0, 1.0, 10.77, 2.262, 3.159, -1.457, -1.525, 2.156, 13.87, 6.943, 6.075, 0.0, 73.0, 1.0, 126.0, 6.0, 0.0, 2.071, 4.0, 1.0, 0.3535, 0.4571, 0.6061, 0.3535, 0.1616, 0.303, 0.2222, 0.0202, 0.05051, 0.0202, 0.0101, 0.0101, 0.0, 0.0101, 1.75, 0.0, 0.5938, 1.255, 4.0, 2.987, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 2.066, 2.066, 0.8696, 2.0, 3.0, 2.0, 0.28, 0.95, 0.72, 0.0, 0.0, 0.05, 0.25, 0.75, 0.4425, 0.5, 0.67, 0.4179, 1.0, 0.1323, -1.304, 6.035, 2.857, 2.0, 2.185, 0.06854, 0.08333, 0.03606, 0.1197, 0.1197, 0.1197, 0.1667, 0.1667, 0.1189, 0.1189, 0.1042, 0.1042, 0.01891, 0.01891, 0.0, 0.0, 28.0, 16.0, 51.0, 44.0, 1.159, 0.04303, 0.04098, 1.05, 0.08402, 0.00877, 8.438, 0.1875, 120.0, 120.0, 0.0, 24.2, 4.133, 0.5504, 0.2322, 0.2322, 0.05151, 0.05151, 0.125, 0.375, 0.213, 0.04727, 0.0, 0.0, 28.0, 16.0, 51.0, 44.0, 1.159, 0.04303, 0.04098, 1.05, 0.08402, 0.00877, 8.438, 0.1875
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\title\midi\run5\run5_epoch4096_17.mid",25.0, 12.0, 1.0, 1.0, 39.0, 0.0, 0.0, 1.0, 1.0, 2.0, 120.0, 5.75, 127.0, 7.0, 0.43, 0.43, 0.186, 0.2326, 1.0, 1.0, 9.552, 2.63, 3.594, -1.737, -1.426, 1.678, 8.273, 6.112, 5.191, 0.0, 90.0, 6.0, 124.0, 4.0, 0.0, 2.505, 4.0, 1.0, 0.303, 0.6333, 0.6061, 0.303, 0.1919, 0.2727, 0.2323, 0.08081, 0.0202, 0.0404, 0.0202, 0.0202, 0.0, 0.0101, 1.3, 0.0, 0.5942, 1.302, 4.623, 2.864, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 1.974, 1.974, 0.1581, 3.0, 4.0, 1.0, 0.11, 0.97, 0.89, 0.0, 0.0, 0.02, 0.25, 1.0, 0.4825, 0.5, 0.86, 0.1279, 1.0, 0.1021, -0.5142, 14.37, 4.762, 1.0, 5.735, 0.06021, 0.0625, 0.03375, 0.1012, 0.1012, 0.1012, 0.1458, 0.1458, 0.1157, 0.1157, 0.1042, 0.1042, 0.01468, 0.01468, 0.0, 0.0, 25.0, 23.0, 41.0, 49.0, 1.195, 0.03712, 0.03275, 1.133, 0.06987, 0.008525, 10.35, 0.2174, 120.0, 120.0, 0.0, 25.32, 3.949, 1.679, 0.2435, 0.2435, 0.0471, 0.0471, 0.1354, 0.4583, 0.2276, 0.04452, 0.0, 0.0, 25.0, 23.0, 41.0, 49.0, 1.195, 0.03712, 0.03275, 1.133, 0.06987, 0.008525, 10.35, 0.2174
